2013-02-13 22:26:39 status half-installed libc6 2.15-0ubuntu10
2013-02-13 22:26:40 status half-installed libc6 2.15-0ubuntu10
2013-02-13 22:26:41 status unpacked libc6 2.15-0ubuntu10
2013-02-13 22:26:41 status unpacked libc6 2.15-0ubuntu10
2013-02-13 22:26:41 install libcomerr2 <none> 1.42-1ubuntu2
2013-02-13 22:26:41 status half-installed libcomerr2 1.42-1ubuntu2
2013-02-13 22:26:41 status unpacked libcomerr2 1.42-1ubuntu2
2013-02-13 22:26:41 status unpacked libcomerr2 1.42-1ubuntu2
2013-02-13 22:26:41 install libdb5.1 <none> 5.1.25-11build1
2013-02-13 22:26:41 status half-installed libdb5.1 5.1.25-11build1
2013-02-13 22:26:41 status unpacked libdb5.1 5.1.25-11build1
2013-02-13 22:26:41 status unpacked libdb5.1 5.1.25-11build1
2013-02-13 22:26:41 install libdbus-1-3 <none> 1.4.18-1ubuntu1
2013-02-13 22:26:41 status half-installed libdbus-1-3 1.4.18-1ubuntu1
2013-02-13 22:26:41 status unpacked libdbus-1-3 1.4.18-1ubuntu1
2013-02-13 22:26:41 status unpacked libdbus-1-3 1.4.18-1ubuntu1
2013-02-13 22:26:41 install libdrm-intel1 <none> 2.4.32-1ubuntu1
2013-02-13 22:26:41 status half-installed libdrm-intel1 2.4.32-1ubuntu1
2013-02-13 22:26:41 status unpacked libdrm-intel1 2.4.32-1ubuntu1
2013-02-13 22:26:41 status unpacked libdrm-intel1 2.4.32-1ubuntu1
2013-02-13 22:26:41 install libdrm-nouveau1a <none> 2.4.32-1ubuntu1
2013-02-13 22:26:41 status half-installed libdrm-nouveau1a 2.4.32-1ubuntu1
2013-02-13 22:26:41 status unpacked libdrm-nouveau1a 2.4.32-1ubuntu1
2013-02-13 22:26:41 status unpacked libdrm-nouveau1a 2.4.32-1ubuntu1
2013-02-13 22:26:41 install libdrm-radeon1 <none> 2.4.32-1ubuntu1
2013-02-13 22:26:41 status half-installed libdrm-radeon1 2.4.32-1ubuntu1
2013-02-13 22:26:41 status unpacked libdrm-radeon1 2.4.32-1ubuntu1
2013-02-13 22:26:41 status unpacked libdrm-radeon1 2.4.32-1ubuntu1
2013-02-13 22:26:42 install libdrm2 <none> 2.4.32-1ubuntu1
2013-02-13 22:26:42 status half-installed libdrm2 2.4.32-1ubuntu1
2013-02-13 22:26:42 status unpacked libdrm2 2.4.32-1ubuntu1
2013-02-13 22:26:42 status unpacked libdrm2 2.4.32-1ubuntu1
2013-02-13 22:26:42 install libelf1 <none> 0.152-1ubuntu3
2013-02-13 22:26:42 status half-installed libelf1 0.152-1ubuntu3
2013-02-13 22:26:42 status unpacked libelf1 0.152-1ubuntu3
2013-02-13 22:26:42 status unpacked libelf1 0.152-1ubuntu3
2013-02-13 22:26:42 install libffi6 <none> 3.0.11~rc1-5
2013-02-13 22:26:42 status half-installed libffi6 3.0.11~rc1-5
2013-02-13 22:26:42 status unpacked libffi6 3.0.11~rc1-5
2013-02-13 22:26:42 status unpacked libffi6 3.0.11~rc1-5
2013-02-13 22:26:42 install libgcc1 <none> 1:4.6.3-1ubuntu5
2013-02-13 22:26:42 status half-installed libgcc1 1:4.6.3-1ubuntu5
2013-02-13 22:26:42 status unpacked libgcc1 1:4.6.3-1ubuntu5
2013-02-13 22:26:42 status unpacked libgcc1 1:4.6.3-1ubuntu5
2013-02-13 22:26:42 install libglib2.0-0 <none> 2.32.1-0ubuntu2
2013-02-13 22:26:42 status half-installed libglib2.0-0 2.32.1-0ubuntu2
2013-02-13 22:26:42 status unpacked libglib2.0-0 2.32.1-0ubuntu2
2013-02-13 22:26:42 status unpacked libglib2.0-0 2.32.1-0ubuntu2
2013-02-13 22:26:42 install libklibc <none> 1.5.25-1ubuntu2
2013-02-13 22:26:42 status half-installed libklibc 1.5.25-1ubuntu2
2013-02-13 22:26:42 status unpacked libklibc 1.5.25-1ubuntu2
2013-02-13 22:26:42 status unpacked libklibc 1.5.25-1ubuntu2
2013-02-13 22:26:42 install liblzma5 <none> 5.1.1alpha+20110809-3
2013-02-13 22:26:42 status half-installed liblzma5 5.1.1alpha+20110809-3
2013-02-13 22:26:42 status unpacked liblzma5 5.1.1alpha+20110809-3
2013-02-13 22:26:42 status unpacked liblzma5 5.1.1alpha+20110809-3
2013-02-13 22:26:43 install libmount1 <none> 2.20.1-1ubuntu3
2013-02-13 22:26:43 status half-installed libmount1 2.20.1-1ubuntu3
2013-02-13 22:26:43 status unpacked libmount1 2.20.1-1ubuntu3
2013-02-13 22:26:43 status unpacked libmount1 2.20.1-1ubuntu3
2013-02-13 22:26:43 install libncurses5 <none> 5.9-4
2013-02-13 22:26:43 status half-installed libncurses5 5.9-4
2013-02-13 22:26:43 status unpacked libncurses5 5.9-4
2013-02-13 22:26:43 status unpacked libncurses5 5.9-4
2013-02-13 22:26:43 install libncursesw5 <none> 5.9-4
2013-02-13 22:26:43 status half-installed libncursesw5 5.9-4
2013-02-13 22:26:43 status unpacked libncursesw5 5.9-4
2013-02-13 22:26:43 status unpacked libncursesw5 5.9-4
2013-02-13 22:26:43 install libnih-dbus1 <none> 1.0.3-4ubuntu9
2013-02-13 22:26:43 status half-installed libnih-dbus1 1.0.3-4ubuntu9
2013-02-13 22:26:43 status unpacked libnih-dbus1 1.0.3-4ubuntu9
2013-02-13 22:26:43 status unpacked libnih-dbus1 1.0.3-4ubuntu9
2013-02-13 22:26:43 install libnih1 <none> 1.0.3-4ubuntu9
2013-02-13 22:26:43 status half-installed libnih1 1.0.3-4ubuntu9
2013-02-13 22:26:43 status unpacked libnih1 1.0.3-4ubuntu9
2013-02-13 22:26:43 status unpacked libnih1 1.0.3-4ubuntu9
2013-02-13 22:26:43 install libpam-modules <none> 1.1.3-7ubuntu2
2013-02-13 22:26:43 status half-installed libpam-modules 1.1.3-7ubuntu2
2013-02-13 22:26:44 status unpacked libpam-modules 1.1.3-7ubuntu2
2013-02-13 22:26:44 status unpacked libpam-modules 1.1.3-7ubuntu2
2013-02-13 22:26:44 install libpam-modules-bin <none> 1.1.3-7ubuntu2
2013-02-13 22:26:44 status half-installed libpam-modules-bin 1.1.3-7ubuntu2
2013-02-13 22:26:44 status unpacked libpam-modules-bin 1.1.3-7ubuntu2
